book_id,title,author_name,image_url,best_desc,genre,tone,description
343,Perfume: The Story of a Murderer,Patrick Suskind,https://images.gr-assets.com/books/1409112276m/343.jpg,"an acclaimed bestseller and international sensation, patrick suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion -- his sense of smell -- leads to murder. in the slums of eighteenth-century france, the infant jean-baptiste grenouille is born with one sublime gift -- an absolute sense of smell. as a boy, he lives to decipher the odors of paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. but grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume"" -- the scent of a beautiful young virgin. told with dazzling narrative brillance, perfume is a hauntingly powerful tale of murder and sensual depravity. translated from the german by john e. woods.",Fiction,uplifting,"An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion -- his sense of smell -- leads to murder.
In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift -- an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume"" -- the scent of a beautiful young virgin. Told with dazzling narrative brillance, Perfume is a hauntingly powerful tale of murder and sensual depravity.
Translated from the German by John E. Woods."
350,Stranger in a Strange Land,Robert A. Heinlein,https://images.gr-assets.com/books/1156897088m/350.jpg,"name: valentine michael smith ancestry: human origin: mars valentine michael smith is a human being raised on mars, newly returned to earth. among his people for the first time, he struggles to understand the social mores and prejudices of human nature that are so alien to him, while teaching them his own fundamental beliefs in grokking, watersharing, and love.",Fiction,uplifting,"NAME: Valentine Michael Smith
ANCESTRY: Human
ORIGIN: Mars
Valentine Michael Smith is a human being raised on Mars, newly returned to Earth. Among his people for the first time, he struggles to understand the social mores and prejudices of human nature that are so alien to him, while teaching them his own fundamental beliefs in grokking, watersharing, and love."
360,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,https://images.gr-assets.com/books/1320725132m/360.jpg,"it's easy to get disheartened when your planet has been blown up, the woman you love has vanished in a misunderstanding about space/time, the spaceship you are on crashes on a remote and bob-fearing planet, and all you have to fall back on is a few simple sandwich-making skills. however, instead of being disheartened, arthur dent makes the terrible mistake of starting to enjoy life a bit and, immediately, all hell breaks loose. hell takes a number of forms: there's the usual ford prefect form of hell, fresh hell in the form of an all-new version of the hitchhiker's guide to the galaxy, and a totally unexpected hell in the form of a teenage girl who startles arthur dent by being his daughter when he didn't even know he had one. can arthur save the earth from total multidimensional obliteration? can he save the guidefrom a hostile alien takeover? can he save his daughter, random, from herself? of course not. he never works out what is going on, exactly. will you?",Nonfiction,uplifting,"It's easy to get disheartened when your planet has been blown up, the woman you love has vanished in a misunderstanding about space/time, the spaceship you are on crashes on a remote and Bob-fearing planet, and all you have to fall back on is a few simple sandwich-making skills. However, instead of being disheartened, Arthur Dent makes the terrible mistake of starting to enjoy life a bit and, immediately, all hell breaks loose.
Hell takes a number of forms: there's the usual Ford Prefect form of hell, fresh hell in the form of an all-new version of The Hitchhiker's Guide to the Galaxy, and a totally unexpected hell in the form of a teenage girl who startles Arthur Dent by being his daughter when he didn't even know he had one.
Can Arthur save the Earth from total multidimensional obliteration? Can he save the Guidefrom a hostile alien takeover? Can he save his daughter, Random, from herself?
Of course not. He never works out what is going on, exactly. Will you?"
428,Play It as It Lays,Joan Didion,https://images.gr-assets.com/books/1327935636m/428.jpg,"a ruthless dissection of american life in the late 1960s, play it as it layscaptures the mood of an entire generation, the ennui of contemporary society reflected in spare prose that blisters and haunts the reader. set in a place beyond good and evil - literally in hollywood, las vegas, and the barren wastes of the mojave desert, but figuratively in the landscape of an arid soul - it remains more than three decades after its original publication a profoundly disturbing novel, riveting in its exploration of a woman and a society in crisis and stunning in the still-startling intensity of its prose.",Fiction,uplifting,"A ruthless dissection of American life in the late 1960s, Play It as It Layscaptures the mood of an entire generation, the ennui of contemporary society reflected in spare prose that blisters and haunts the reader. Set in a place beyond good and evil - literally in Hollywood, Las Vegas, and the barren wastes of the Mojave Desert, but figuratively in the landscape of an arid soul - it remains more than three decades after its original publication a profoundly disturbing novel, riveting in its exploration of a woman and a society in crisis and stunning in the still-startling intensity of its prose."
667,Anthem,Ayn Rand,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"anthemhas long been hailed as one of ayn rand's classic novels, and a clear predecessor to her later masterpieces, the fountainheadand atlas shrugged. in anthem, rand examines a frightening future in which individuals have no name, no independence, and no values. equality 7-2521 lives in the dark ages of the future where all decisions are made by committee, all people live in collectives, and all traces of individualism have been wiped out. despite such a restrictive environment, the spark of individual thought and freedom still burns in him--a passion which he has been taught to call sinful. in a purely egalitarian world, equality 7-2521 dares to stand apart from the herd--to think and choose for himself, to discover electricity, and to love the woman of his choice. now he has been marked for death for committing the ultimate sin. in a world where the great ""we"" reign supreme, he has rediscovered the lost and holy word--""i.""",Fiction,uplifting,"Anthemhas long been hailed as one of Ayn Rand's classic novels, and a clear predecessor to her later masterpieces, The Fountainheadand Atlas Shrugged. In Anthem, Rand examines a frightening future in which individuals have no name, no independence, and no values. Equality 7-2521 lives in the dark ages of the future where all decisions are made by committee, all people live in collectives, and all traces of individualism have been wiped out. Despite such a restrictive environment, the spark of individual thought and freedom still burns in him--a passion which he has been taught to call sinful. In a purely egalitarian world, Equality 7-2521 dares to stand apart from the herd--to think and choose for himself, to discover electricity, and to love the woman of his choice. Now he has been marked for death for committing the ultimate sin. In a world where the great ""we"" reign supreme, he has rediscovered the lost and holy word--""I."""
830,Snow Crash,Neal Stephenson,https://images.gr-assets.com/books/1477624625m/830.jpg,"in reality, hiro protagonist delivers pizza for uncle enzo's cosonostra pizza inc., but in the metaverse he's a warrior prince. plunging headlong into the enigma of a new computer virus that's striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. snow crash is a mind-altering romp through a future america so bizarre, so outrageous...you'll recognize it immediately.",Fiction,dark,"In reality, Hiro Protagonist delivers pizza for Uncle Enzo's CosoNostra Pizza Inc., but in the Metaverse he's a warrior prince. Plunging headlong into the enigma of a new computer virus that's striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. Snow Crash is a mind-altering romp through a future America so bizarre, so outrageous...you'll recognize it immediately."
873,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)",Hiromu Arakawa,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"in an alchemical ritual gone wrong, edward elric lost his arm and his leg, and his brother alphonse became nothing but a soul in a suit of armor. equipped with mechanical ""auto-mail"" limbs, edward becomes a state alchemist, seeking the one thing that can restore his brother and himself... the legendary philosopher's stone. there are many types of alchemy in the world. edward's commanding officer, ""flame alchemist"" roy mustang, can control fire. shou tucker, the ""sewing-life alchemist,"" specializes in the most difficult alchemy of all...biological transmutation, the ability to alter the tissue of living things. but no matter what their power, alchemists are still human. and when a mysterious killer begins stalking state alchemists, no one can escape his vengeance...",Fiction,mixed,"In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his brother and himself... the legendary Philosopher's Stone.
There are many types of alchemy in the world. Edward's commanding officer, ""Flame Alchemist"" Roy Mustang, can control fire. Shou Tucker, the ""Sewing-Life Alchemist,"" specializes in the most difficult alchemy of all...biological transmutation, the ability to alter the tissue of living things. But no matter what their power, alchemists are still human. And when a mysterious killer begins stalking state alchemists, no one can escape his vengeance..."
890,Of Mice and Men,John Steinbeck,https://images.gr-assets.com/books/1437235233m/890.jpg,"the compelling story of two outsiders striving to find their place in an unforgiving world. drifters in search of work, george and his simple-minded friend lennie have nothing in the world except each other and a dream--a dream that one day they will have some land of their own. eventually they find work on a ranch in california's salinas valley, but their hopes are doomed as lennie, struggling against extreme cruelty, misunderstanding and feelings of jealousy, becomes a victim of his own strength. tackling universal themes such as the friendship of a shared vision, and giving voice to america's lonely and dispossessed, of mice and menhas proved one of steinbeck's most popular works, achieving success as a novel, a broadway play and three acclaimed films.",Fiction,uplifting,"The compelling story of two outsiders striving to find their place in an unforgiving world. Drifters in search of work, George and his simple-minded friend Lennie have nothing in the world except each other and a dream--a dream that one day they will have some land of their own. Eventually they find work on a ranch in California's Salinas Valley, but their hopes are doomed as Lennie, struggling against extreme cruelty, misunderstanding and feelings of jealousy, becomes a victim of his own strength. Tackling universal themes such as the friendship of a shared vision, and giving voice to America's lonely and dispossessed, Of Mice and Menhas proved one of Steinbeck's most popular works, achieving success as a novel, a Broadway play and three acclaimed films."
902,The Westing Game,Ellen Raskin,https://images.gr-assets.com/books/1356850909m/902.jpg,"a bizarre chain of events begins when sixteen unlikely people gather for the reading of samuel w. westing's will. and though no one knows why the eccentric, game-loving millionaire has chosen a virtual stranger - and a possible murderer - to inherit his vast fortune, one thing's for sure: sam westing may be dead... but that won't stop him from playing one last game!",Fiction,uplifting,"A bizarre chain of events begins when sixteen unlikely people gather for the reading of Samuel W. Westing's will. And though no one knows why the eccentric, game-loving millionaire has chosen a virtual stranger - and a possible murderer - to inherit his vast fortune, one thing's for sure: Sam Westing may be dead... but that won't stop him from playing one last game!"
930,Memoirs of a Geisha,Arthur Golden,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"a literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of japan's most celebrated geisha. in memoirs of a geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. it is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.",Fiction,uplifting,"A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.
In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable."
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,https://images.gr-assets.com/books/1303390735m/960.jpg,"an ancient secret brotherhood. a devastating new weapon of destruction. an unthinkable target... when world-renowned harvard symbologist robert langdon is summoned to a swiss research facility to analyze a mysterious symbol -- seared into the chest of a murdered physicist -- he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the illuminati... the most powerful underground organization ever to walk the earth. the illuminati has surfaced from the shadows to carry out the final phase of its legendary vendetta against its most hated enemy... the catholic church. langdon's worst fears are confirmed on the eve of the vatican's holy conclave, when a messenger of the illuminati announces he has hidden an unstoppable time bomb at the very heart of vatican city. with the countdown under way, langdon jets to rome to join forces with vittoria vetra, a beautiful and mysterious italian scientist, to assist the vatican in a desperate bid for survival. embarking on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and even to the heart of the most secretive vault on earth, langdon and vetra follow a 400-year old trail of ancient symbols that snakes across rome toward the long-forgotten illuminati lair... a secret location that contains the only hope for vatican salvation. an explosive international thriller, angels & demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war.",Fiction,dark,"An ancient secret brotherhood.
A devastating new weapon of destruction.
An unthinkable target...
When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol -- seared into the chest of a murdered physicist -- he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati... the most powerful underground organization ever to walk the earth. The Illuminati has surfaced from the shadows to carry out the final phase of its legendary vendetta against its most hated enemy... the Catholic Church.
Langdon's worst fears are confirmed on the eve of the Vatican's holy conclave, when a messenger of the Illuminati announces he has hidden an unstoppable time bomb at the very heart of Vatican City. With the countdown under way, Langdon jets to Rome to join forces with Vittoria Vetra, a beautiful and mysterious Italian scientist, to assist the Vatican in a desperate bid for survival.
Embarking on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and even to the heart of the most secretive vault on earth, Langdon and Vetra follow a 400-year old trail of ancient symbols that snakes across Rome toward the long-forgotten Illuminati lair... a secret location that contains the only hope for Vatican salvation.
An explosive international thriller, Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war."
